CDS                                                       ,dN/dS,dN,dS,Species Pair
mini.cds.fasta_GLEAN_10017046-croc.cds.fasta_GLEAN_10017046,0.0409,0.0006,0.0153,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017049-croc.cds.fasta_GLEAN_10017049,0.3161,0.0018,0.0058,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017052-croc.cds.fasta_GLEAN_10017052,0.4006,0.0035,0.0088,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017054-croc.cds.fasta_GLEAN_10017054,0.341,0.0069,0.0201,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017057-croc.cds.fasta_GLEAN_10017057,0.0524,0.0007,0.0137,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017058-croc.cds.fasta_GLEAN_10017058,0.1426,0.0016,0.011,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017060-croc.cds.fasta_GLEAN_10017060,0.6038,0.0029,0.0048,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017061-croc.cds.fasta_GLEAN_10017061,0.7114,0.0022,0.0031,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017062-croc.cds.fasta_GLEAN_10017062,0.8026,0.0032,0.004,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017066-croc.cds.fasta_GLEAN_10017066,0.1227,0.0004,0.0035,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017067-croc.cds.fasta_GLEAN_10017067,0.4089,0.0012,0.0029,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017068-croc.cds.fasta_GLEAN_10017068,0.3032,0.0007,0.0022,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017070-croc.cds.fasta_GLEAN_10017070,0.9871,0.002,0.002,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017071-croc.cds.fasta_GLEAN_10017071,0.3215,0.0016,0.0048,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017075-croc.cds.fasta_GLEAN_10017075,0.0942,0.0005,0.0056,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017079-croc.cds.fasta_GLEAN_10017079,0.6344,0.0017,0.0026,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017080-croc.cds.fasta_GLEAN_10017080,0.3022,0.0009,0.003,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017085-croc.cds.fasta_GLEAN_10017085,0.3096,0.0021,0.0068,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017086-croc.cds.fasta_GLEAN_10017086,0.3661,0.0068,0.0186,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017090-croc.cds.fasta_GLEAN_10017090,0.2155,0.0022,0.0102,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017094-croc.cds.fasta_GLEAN_10017094,0.418,0.0092,0.0221,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017095-croc.cds.fasta_GLEAN_10017095,0.8776,0.0026,0.003,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017096-croc.cds.fasta_GLEAN_10017096,0.258,0.0038,0.0148,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017097-croc.cds.fasta_GLEAN_10017097,0.6135,0.0083,0.0136,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017098-croc.cds.fasta_GLEAN_10017098,0.3173,0.0033,0.0105,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017102-croc.cds.fasta_GLEAN_10017102,0.9444,0.0071,0.0075,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017103-croc.cds.fasta_GLEAN_10017103,0.5047,0.0068,0.0135,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017104-croc.cds.fasta_GLEAN_10017104,0.3016,0.0012,0.0039,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017107-croc.cds.fasta_GLEAN_10017107,0.0739,0.0005,0.0071,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017108-croc.cds.fasta_GLEAN_10017108,0.1192,0.0006,0.0053,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017109-croc.cds.fasta_GLEAN_10017109,0.0514,0.0006,0.0112,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017110-croc.cds.fasta_GLEAN_10017110,0.1617,0.001,0.0061,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017112-croc.cds.fasta_GLEAN_10017112,0.1041,0.0011,0.0101,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017114-croc.cds.fasta_GLEAN_10017114,0.4204,0.007,0.0165,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017115-croc.cds.fasta_GLEAN_10017115,0.1752,0.0016,0.0089,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017116-croc.cds.fasta_GLEAN_10017116,0.1256,0.0012,0.0098,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017120-croc.cds.fasta_GLEAN_10017120,0.0765,0.0003,0.0041,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017122-croc.cds.fasta_GLEAN_10017122,0.5213,0.0066,0.0127,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017123-croc.cds.fasta_GLEAN_10017123,0.1521,0.0008,0.0049,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017127-croc.cds.fasta_GLEAN_10017127,0.4645,0.0049,0.0106,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017131-croc.cds.fasta_GLEAN_10017131,0.6743,0.0061,0.009,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017133-croc.cds.fasta_GLEAN_10017133,0.0742,0.0005,0.0066,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017134-croc.cds.fasta_GLEAN_10017134,0.2166,0.0062,0.0284,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017137-croc.cds.fasta_GLEAN_10017137,0.0786,0.0013,0.0171,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017138-croc.cds.fasta_GLEAN_10017138,0.6175,0.0058,0.0094,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017139-croc.cds.fasta_GLEAN_10017139,0.0284,0.0003,0.0121,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017143-croc.cds.fasta_GLEAN_10017143,0.2988,0.0029,0.0098,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017144-croc.cds.fasta_GLEAN_10017144,0.5834,0.0146,0.025,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017145-croc.cds.fasta_GLEAN_10017145,0.1656,0.0008,0.0048,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017146-croc.cds.fasta_GLEAN_10017146,0.8132,0.0049,0.006,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017148-croc.cds.fasta_GLEAN_10017148,0.3069,0.0014,0.0046,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017149-croc.cds.fasta_GLEAN_10017149,0.295,0.0048,0.0162,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017151-croc.cds.fasta_GLEAN_10017151,0.3126,0.0011,0.0036,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017152-croc.cds.fasta_GLEAN_10017152,0.1428,0.0007,0.0051,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017155-croc.cds.fasta_GLEAN_10017155,0.2065,0.0023,0.011,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017157-croc.cds.fasta_GLEAN_10017157,0.1464,0.003,0.0203,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017158-croc.cds.fasta_GLEAN_10017158,0.5968,0.0017,0.0029,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017163-croc.cds.fasta_GLEAN_10017163,0.3362,0.0021,0.0063,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017164-croc.cds.fasta_GLEAN_10017164,0.2838,0.0015,0.0052,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017166-croc.cds.fasta_GLEAN_10017166,0.1104,0.001,0.0088,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017168-croc.cds.fasta_GLEAN_10017168,0.1032,0.0018,0.0171,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017169-croc.cds.fasta_GLEAN_10017169,0.7126,0.0098,0.0138,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017170-croc.cds.fasta_GLEAN_10017170,0.2565,0.0033,0.013,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017171-croc.cds.fasta_GLEAN_10017171,1.4431,0.0055,0.0038,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017172-croc.cds.fasta_GLEAN_10017172,0.9873,0.0076,0.0077,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017174-croc.cds.fasta_GLEAN_10017174,0.1644,0.0004,0.0025,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017175-croc.cds.fasta_GLEAN_10017175,0.1279,0.0013,0.01,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017176-croc.cds.fasta_GLEAN_10017176,0.0417,0.0008,0.0203,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017181-croc.cds.fasta_GLEAN_10017181,0.0813,0.0014,0.0171,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017182-croc.cds.fasta_GLEAN_10017182,0.258,0.0012,0.0047,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017185-croc.cds.fasta_GLEAN_10017185,0.6385,0.0019,0.0029,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017187-croc.cds.fasta_GLEAN_10017187,0.2472,0.0009,0.0036,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017188-croc.cds.fasta_GLEAN_10017188,0.1563,0.0012,0.0076,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017190-croc.cds.fasta_GLEAN_10017190,0.3887,0.006,0.0154,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017192-croc.cds.fasta_GLEAN_10017192,0.2852,0.0022,0.0076,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017193-croc.cds.fasta_GLEAN_10017193,0.2845,0.0026,0.009,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017194-croc.cds.fasta_GLEAN_10017194,0.1263,0.0006,0.0046,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017197-croc.cds.fasta_GLEAN_10017197,0.0258,0.0004,0.0165,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017201-croc.cds.fasta_GLEAN_10017201,0.6429,0.0012,0.0019,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017210-croc.cds.fasta_GLEAN_10017210,1.2206,0.0027,0.0022,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017213-croc.cds.fasta_GLEAN_10017213,0.1668,0.001,0.006,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017214-croc.cds.fasta_GLEAN_10017214,0.597,0.0044,0.0074,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017215-croc.cds.fasta_GLEAN_10017215,0.1458,0.0012,0.0084,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017218-croc.cds.fasta_GLEAN_10017218,0.6089,0.004,0.0066,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017219-croc.cds.fasta_GLEAN_10017219,0.3404,0.0025,0.0072,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017220-croc.cds.fasta_GLEAN_10017220,0.0607,0.0014,0.0223,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017221-croc.cds.fasta_GLEAN_10017221,0.3427,0.0026,0.0075,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017222-croc.cds.fasta_GLEAN_10017222,0.6205,0.0023,0.0037,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017227-croc.cds.fasta_GLEAN_10017227,0.2211,0.003,0.0137,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017228-croc.cds.fasta_GLEAN_10017228,0.0643,0.0017,0.026,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017229-croc.cds.fasta_GLEAN_10017229,1.2113,0.0062,0.0051,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017231-croc.cds.fasta_GLEAN_10017231,0.0439,0.0003,0.0059,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017234-croc.cds.fasta_GLEAN_10017234,0.0738,0.0007,0.0097,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017235-croc.cds.fasta_GLEAN_10017235,0.4879,0.0036,0.0075,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017238-croc.cds.fasta_GLEAN_10017238,0.2852,0.007,0.0244,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017239-croc.cds.fasta_GLEAN_10017239,0.6875,0.0029,0.0042,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017241-croc.cds.fasta_GLEAN_10017241,0.1013,0.0017,0.0172,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017242-croc.cds.fasta_GLEAN_10017242,0.0941,0.0008,0.0086,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017245-croc.cds.fasta_GLEAN_10017245,0.1109,0.0027,0.024,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017246-croc.cds.fasta_GLEAN_10017246,0.1568,0.0007,0.0045,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017247-croc.cds.fasta_GLEAN_10017247,0.3052,0.005,0.0163,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017248-croc.cds.fasta_GLEAN_10017248,0.2388,0.0024,0.0103,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017249-croc.cds.fasta_GLEAN_10017249,0.3156,0.0026,0.0082,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017250-croc.cds.fasta_GLEAN_10017250,0.1664,0.0017,0.0103,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017251-croc.cds.fasta_GLEAN_10017251,0.6146,0.002,0.0033,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017253-croc.cds.fasta_GLEAN_10017253,0.5215,0.0101,0.0193,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017254-croc.cds.fasta_GLEAN_10017254,0.0546,0.0007,0.0129,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017257-croc.cds.fasta_GLEAN_10017257,0.2011,0.0023,0.0114,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017258-croc.cds.fasta_GLEAN_10017258,0.042,0.0006,0.0139,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017260-croc.cds.fasta_GLEAN_10017260,0.1451,0.0015,0.0105,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017261-croc.cds.fasta_GLEAN_10017261,0.6286,0.0053,0.0084,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017262-croc.cds.fasta_GLEAN_10017262,0.2931,0.0011,0.0037,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017263-croc.cds.fasta_GLEAN_10017263,0.2912,0.0081,0.0278,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017264-croc.cds.fasta_GLEAN_10017264,0.0197,0.0003,0.015,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017266-croc.cds.fasta_GLEAN_10017266,0.091,0.0005,0.0059,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017267-croc.cds.fasta_GLEAN_10017267,0.4915,0.0028,0.0058,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017268-croc.cds.fasta_GLEAN_10017268,0.1545,0.0014,0.0091,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017269-croc.cds.fasta_GLEAN_10017269,0.1496,0.0052,0.0351,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017270-croc.cds.fasta_GLEAN_10017270,0.0207,0.0002,0.0116,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017275-croc.cds.fasta_GLEAN_10017275,0.4882,0.0022,0.0045,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017277-croc.cds.fasta_GLEAN_10017277,0.0906,0.0012,0.0127,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017283-croc.cds.fasta_GLEAN_10017283,0.1104,0.0015,0.0135,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017284-croc.cds.fasta_GLEAN_10017284,0.4837,0.0009,0.0019,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017287-croc.cds.fasta_GLEAN_10017287,0.1588,0.0012,0.0077,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017288-croc.cds.fasta_GLEAN_10017288,0.3154,0.0021,0.0068,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017292-croc.cds.fasta_GLEAN_10017292,0.1646,0.0007,0.0041,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017293-croc.cds.fasta_GLEAN_10017293,0.1909,0.0014,0.0075,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017296-croc.cds.fasta_GLEAN_10017296,0.1088,0.0007,0.0066,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017297-croc.cds.fasta_GLEAN_10017297,0.1299,0.0008,0.0065,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017299-croc.cds.fasta_GLEAN_10017299,0.1583,0.0012,0.0073,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017301-croc.cds.fasta_GLEAN_10017301,0.1936,0.0033,0.0172,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017302-croc.cds.fasta_GLEAN_10017302,0.0757,0.0007,0.0091,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017303-croc.cds.fasta_GLEAN_10017303,0.5491,0.0075,0.0137,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017307-croc.cds.fasta_GLEAN_10017307,0.08,0.0016,0.0204,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017311-croc.cds.fasta_GLEAN_10017311,0.0971,0.0004,0.0041,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017312-croc.cds.fasta_GLEAN_10017312,0.0418,0.0005,0.0111,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017316-croc.cds.fasta_GLEAN_10017316,0.1939,0.0034,0.0173,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017319-croc.cds.fasta_GLEAN_10017319,0.2496,0.0037,0.0149,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017320-croc.cds.fasta_GLEAN_10017320,0.3046,0.0043,0.0142,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017322-croc.cds.fasta_GLEAN_10017322,0.0654,0.0009,0.0131,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017324-croc.cds.fasta_GLEAN_10017324,0.3204,0.0013,0.0042,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017327-croc.cds.fasta_GLEAN_10017327,0.0987,0.0043,0.0431,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017331-croc.cds.fasta_GLEAN_10017331,0.3302,0.0025,0.0074,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017332-croc.cds.fasta_GLEAN_10017332,0.2079,0.0016,0.0076,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017334-croc.cds.fasta_GLEAN_10017334,0.0644,0.0008,0.0131,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017336-croc.cds.fasta_GLEAN_10017336,0.6083,0.001,0.0016,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017338-croc.cds.fasta_GLEAN_10017338,0.2726,0.0018,0.0066,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017340-croc.cds.fasta_GLEAN_10017340,0.745,0.0365,0.049,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017341-croc.cds.fasta_GLEAN_10017341,1.5814,0.0085,0.0054,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017343-croc.cds.fasta_GLEAN_10017343,0.3144,0.0028,0.009,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017344-croc.cds.fasta_GLEAN_10017344,0.3068,0.0007,0.0024,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017345-croc.cds.fasta_GLEAN_10017345,0.0994,0.0004,0.0043,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017346-croc.cds.fasta_GLEAN_10017346,0.3119,0.0025,0.0079,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017348-croc.cds.fasta_GLEAN_10017348,0.1671,0.0022,0.0132,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017349-croc.cds.fasta_GLEAN_10017349,0.1299,0.0006,0.005,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017350-croc.cds.fasta_GLEAN_10017350,0.2328,0.0017,0.0074,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017352-croc.cds.fasta_GLEAN_10017352,0.0614,0.0006,0.0105,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017353-croc.cds.fasta_GLEAN_10017353,0.5077,0.0011,0.0021,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017360-croc.cds.fasta_GLEAN_10017360,0.6178,0.0049,0.0079,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017361-croc.cds.fasta_GLEAN_10017361,0.0211,0.0008,0.0399,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017362-croc.cds.fasta_GLEAN_10017362,0.1077,0.0011,0.0099,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017363-croc.cds.fasta_GLEAN_10017363,0.4623,0.007,0.0151,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017365-croc.cds.fasta_GLEAN_10017365,0.1526,0.0023,0.0152,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017366-croc.cds.fasta_GLEAN_10017366,0.1473,0.0014,0.0097,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017369-croc.cds.fasta_GLEAN_10017369,0.5791,0.004,0.0069,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017370-croc.cds.fasta_GLEAN_10017370,0.0782,0.0005,0.007,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017375-croc.cds.fasta_GLEAN_10017375,0.3121,0.0012,0.0038,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017376-croc.cds.fasta_GLEAN_10017376,0.1241,0.001,0.0079,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017377-croc.cds.fasta_GLEAN_10017377,0.0992,0.0006,0.0064,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017379-croc.cds.fasta_GLEAN_10017379,0.1096,0.0018,0.0162,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017381-croc.cds.fasta_GLEAN_10017381,0.0436,0.0007,0.0161,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017384-croc.cds.fasta_GLEAN_10017384,0.2646,0.0026,0.0098,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017386-croc.cds.fasta_GLEAN_10017386,0.1708,0.003,0.0173,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017388-croc.cds.fasta_GLEAN_10017388,1.4523,0.0092,0.0063,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017390-croc.cds.fasta_GLEAN_10017390,0.2419,0.0036,0.0148,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017391-croc.cds.fasta_GLEAN_10017391,0.3199,0.0011,0.0033,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017394-croc.cds.fasta_GLEAN_10017394,0.0948,0.0022,0.0233,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017396-croc.cds.fasta_GLEAN_10017396,0.6606,0.0095,0.0144,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017398-croc.cds.fasta_GLEAN_10017398,0.1719,0.0022,0.0126,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017399-croc.cds.fasta_GLEAN_10017399,0.7221,0.0119,0.0165,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017401-croc.cds.fasta_GLEAN_10017401,0.6078,0.0088,0.0144,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017402-croc.cds.fasta_GLEAN_10017402,0.3225,0.0024,0.0073,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017404-croc.cds.fasta_GLEAN_10017404,0.2208,0.0066,0.0297,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017405-croc.cds.fasta_GLEAN_10017405,0.4264,0.0066,0.0154,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017406-croc.cds.fasta_GLEAN_10017406,0.662,0.002,0.003,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017407-croc.cds.fasta_GLEAN_10017407,0.1137,0.0013,0.0115,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017415-croc.cds.fasta_GLEAN_10017415,0.6317,0.0032,0.0051,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017416-croc.cds.fasta_GLEAN_10017416,0.618,0.0057,0.0092,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017417-croc.cds.fasta_GLEAN_10017417,0.2684,0.7232,2.6949,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017418-croc.cds.fasta_GLEAN_10017418,0.7053,0.0038,0.0054,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017419-croc.cds.fasta_GLEAN_10017419,0.286,0.0011,0.0039,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017424-croc.cds.fasta_GLEAN_10017424,0.1336,0.0015,0.0116,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017426-croc.cds.fasta_GLEAN_10017426,0.0589,0.001,0.0171,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017427-croc.cds.fasta_GLEAN_10017427,0.0759,0.0005,0.007,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017429-croc.cds.fasta_GLEAN_10017429,0.0933,0.001,0.011,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017431-croc.cds.fasta_GLEAN_10017431,0.1652,0.0009,0.0053,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017432-croc.cds.fasta_GLEAN_10017432,0.3191,0.0025,0.0077,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017433-croc.cds.fasta_GLEAN_10017433,0.2014,0.0024,0.0119,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017436-croc.cds.fasta_GLEAN_10017436,0.4118,1.1345,2.7549,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10017439-croc.cds.fasta_GLEAN_10017439,0.1081,0.0013,0.0123,S. crocotulus-S. miniatus
